Nome do Ativo;Data;Dividend Yield;Taxa Indicativa
NTN-B 760199 20350515;16/11/2018;;0,0505
NTN-B 760199 20350515;19/11/2018;;0,0506
NTN-B 760199 20350515;20/11/2018;;0,0506
NTN-B 760199 20350515;21/11/2018;;0,0502
NTN-B 760199 20350515;22/11/2018;;0,0499
NTN-B 760199 20350515;23/11/2018;;0,0499
NTN-B 760199 20350515;26/11/2018;;0,0509
NTN-B 760199 20350515;27/11/2018;;0,0509
NTN-B 760199 20350515;28/11/2018;;0,0506
NTN-B 760199 20350515;29/11/2018;;0,0505
NTN-B 760199 20350515;30/11/2018;;0,0504
NTN-B 760199 20350515;03/12/2018;;0,0505
NTN-B 760199 20350515;04/12/2018;;0,0509
NTN-B 760199 20350515;05/12/2018;;0,0508
NTN-B 760199 20350515;06/12/2018;;0,0508
NTN-B 760199 20350515;07/12/2018;;0,0507
NTN-B 760199 20350515;10/12/2018;;0,051
NTN-B 760199 20350515;11/12/2018;;0,0509
NTN-B 760199 20350515;12/12/2018;;0,0504
NTN-B 760199 20350515;13/12/2018;;0,0501
NTN-B 760199 20350515;14/12/2018;;0,0498
NTN-B 760199 20350515;17/12/2018;;0,0498
NTN-B 760199 20350515;18/12/2018;;0,0499
NTN-B 760199 20350515;19/12/2018;;0,0496
NTN-B 760199 20350515;20/12/2018;;0,0492
NTN-B 760199 20350515;21/12/2018;;0,0494
NTN-B 760199 20350515;24/12/2018;;0,0494
NTN-B 760199 20350515;26/12/2018;;0,0495
NTN-B 760199 20350515;27/12/2018;;0,0494
NTN-B 760199 20350515;28/12/2018;;0,049
NTN-B 760199 20350515;31/12/2018;;0,049
NTN-B 760199 20350515;02/01/2019;;0,0485
NTN-B 760199 20350515;03/01/2019;;0,0482
NTN-B 760199 20350515;04/01/2019;;0,0474
NTN-B 760199 20350515;07/01/2019;;0,0474
NTN-B 760199 20350515;08/01/2019;;0,0473
NTN-B 760199 20350515;09/01/2019;;0,0464
NTN-B 760199 20350515;10/01/2019;;0,0461
NTN-B 760199 20350515;11/01/2019;;0,0461
NTN-B 760199 20350515;14/01/2019;;0,0455
NTN-B 760199 20350515;15/01/2019;;0,0456
NTN-B 760199 20350515;16/01/2019;;0,0455
NTN-B 760199 20350515;17/01/2019;;0,0454
NTN-B 760199 20350515;18/01/2019;;0,0453
NTN-B 760199 20350515;21/01/2019;;0,0452
NTN-B 760199 20350515;22/01/2019;;0,0452
NTN-B 760199 20350515;23/01/2019;;0,0449
NTN-B 760199 20350515;24/01/2019;;0,0452
NTN-B 760199 20350515;25/01/2019;;0,0452
NTN-B 760199 20350515;28/01/2019;;0,0453
NTN-B 760199 20350515;29/01/2019;;0,0449
NTN-B 760199 20350515;30/01/2019;;0,0447
NTN-B 760199 20350515;31/01/2019;;0,044
NTN-B 760199 20350515;01/02/2019;;0,0432
NTN-B 760199 20350515;04/02/2019;;0,0434
NTN-B 760199 20350515;05/02/2019;;0,0438
NTN-B 760199 20350515;06/02/2019;;0,0443
NTN-B 760199 20350515;07/02/2019;;0,0448
NTN-B 760199 20350515;08/02/2019;;0,0455
NTN-B 760199 20350515;11/02/2019;;0,0455
NTN-B 760199 20350515;12/02/2019;;0,045
NTN-B 760199 20350515;13/02/2019;;0,0446
NTN-B 760199 20350515;14/02/2019;;0,0441
NTN-B 760199 20350515;15/02/2019;;0,0435
NTN-B 760199 20350515;18/02/2019;;0,0437
NTN-B 760199 20350515;19/02/2019;;0,0436
NTN-B 760199 20350515;20/02/2019;;0,0441
NTN-B 760199 20350515;21/02/2019;;0,0441
NTN-B 760199 20350515;22/02/2019;;0,0441
NTN-B 760199 20350515;25/02/2019;;0,0442
NTN-B 760199 20350515;26/02/2019;;0,0442
NTN-B 760199 20350515;27/02/2019;;0,0438
NTN-B 760199 20350515;28/02/2019;;0,0437
NTN-B 760199 20350515;01/03/2019;;0,0438
NTN-B 760199 20350515;06/03/2019;;0,0439
NTN-B 760199 20350515;07/03/2019;;0,044
NTN-B 760199 20350515;08/03/2019;;0,0437
NTN-B 760199 20350515;11/03/2019;;0,0431
NTN-B 760199 20350515;12/03/2019;;0,043
NTN-B 760199 20350515;13/03/2019;;0,0427
NTN-B 760199 20350515;14/03/2019;;0,0428
NTN-B 760199 20350515;15/03/2019;;0,0427
NTN-B 760199 20350515;18/03/2019;;0,0424
NTN-B 760199 20350515;19/03/2019;;0,0423
NTN-B 760199 20350515;20/03/2019;;0,042
NTN-B 760199 20350515;21/03/2019;;0,0424
NTN-B 760199 20350515;22/03/2019;;0,0436
NTN-B 760199 20350515;25/03/2019;;0,0436
NTN-B 760199 20350515;26/03/2019;;0,0441
NTN-B 760199 20350515;27/03/2019;;0,0456
NTN-B 760199 20350515;28/03/2019;;0,0442
NTN-B 760199 20350515;29/03/2019;;0,044
NTN-B 760199 20350515;01/04/2019;;0,0436
NTN-B 760199 20350515;02/04/2019;;0,0436
NTN-B 760199 20350515;03/04/2019;;0,0441
NTN-B 760199 20350515;04/04/2019;;0,0441
NTN-B 760199 20350515;05/04/2019;;0,0439
NTN-B 760199 20350515;08/04/2019;;0,0442
NTN-B 760199 20350515;09/04/2019;;0,0447
